playerid,name,team,age,pa,hr,sb,avg,obp,slg,ops,bb,so,iso,bb_percent,k_percent,xwoba,xba,woba,ev,barrel_batted_rate,hard_hit_percent,wrc_plus
542963,Rob Brantly,,35,7,0,0,0.429,0.429,0.429,0.858,0,1,0.0,0.0,0.1429,0.217,0.23,0.378,89.4,0,16.7,151.4
691907,Tsung-Che Cheng,,23,7,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.4286,0.165,0.167,0,93.2,0,50,-134.4
624513,Dom Nuñez,,30,7,0,0,0.286,0.286,0.286,0.572,0,4,0.0,0.0,0.5714,0.043,0.047,0.252,72.9,0,0,56.1
672642,Steward Berroa,,26,6,0,1,0.0,0.167,0.0,0.167,1,2,0,0.1667,0.3333,0.16,0.057,0.115,91.3,0,0,-47.4
682997,Tyler Callihan,,25,6,0,0,0.167,0.167,0.167,0.334,0,1,0.0,0.0,0.1667,0.194,0.199,0.147,89.8,0,60,-23.3
695257,Billy Cook,,26,6,0,0,0.333,0.333,0.333,0.666,0,1,0.0,0.0,0.1667,0.382,0.396,0.294,81.6,0,40,87.9
693409,César Prieto,,26,6,0,0,0.167,0.167,0.167,0.334,0,5,0.0,0.0,0.8333,0,,0.147,,0,0,-23.3
677941,Jordyn Adams,,25,5,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.4,0.224,0.197,0,94.3,0,66.7,-134.4
642727,Sergio Alcántara,,28,4,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.5,0.05,0.047,0,84.2,0,0,-134.4
685744,Kenedy Corona,,25,4,0,0,0.0,0.5,0.0,0.5,2,1,0,0.5,0.25,0.362,0.035,0.346,92.4,0,0,127.2
605244,Aramis Garcia,,32,4,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.75,0.051,0.041,0,91.3,0,0,-134.4
676551,Brewer Hicklen,,29,4,0,1,0.667,0.75,0.667,1.417,1,1,0.0,0.25,0.25,0.349,0.167,0.614,88.9,50,50,329.9
702358,Trey Lipscomb,,25,4,0,0,0.5,0.5,0.5,1.0,0,1,0.0,0.0,0.25,0.127,0.139,0.441,90.8,0,33.3,199.1
691011,Drew Romo,,23,3,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,1.0,0,,0,,,,-134.4
667690,C.J. Stubbs,,28,3,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.098,0.104,0,84.6,0,33.3,-134.4
675915,David Bañuelos,,28,2,0,0,0.0,0.5,0.0,0.5,0,1,0,0.0,0.5,0.361,,0.361,,,,138.6
681909,Justin Dean,,28,2,0,1,0.0,0.0,0.0,0.0,0,1,0,0.0,0.5,0.029,0.032,0,80.4,0,0,-134.4
675659,Greg Jones,,27,2,0,1,0.0,0.0,0.0,0.0,0,2,0,0.0,1.0,0,,0,,,,-134.4
642020,Chuckie Robinson,,30,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.186,0.202,0,,0,0,-134.4
669432,Trevor Rogers,,27,2,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,1.0,0,,0,,,,-134.4
641302,Tyler Alexander,,30,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.055,0.053,0,93.6,0,0,-134.4
683004,Jack Leiter,,25,1,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,1.0,0,,0,,,,-134.4
669194,Ryne Nelson,,27,1,0,0,1.0,1.0,1.0,2.0,0,0,0.0,0.0,0.0,0.118,0.124,0.882,89.8,0,0,532.5
829272,Shinnosuke Ogasawara,,27,1,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,1.0,0,,0,,,,-134.4
607067,Colin Rea,,34,1,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,1.0,0,,0,,,,-134.4
596117,Garrett Stubbs,,32,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.044,0.045,0,67.5,0,0,-134.4
679631,Terrin Vavra,,28,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.6,0.658,0,100.6,0,100,-134.4
690953,Mick Abel,,23,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
650556,Bryan Abreu,,28,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
688642,Zach Agnos,,24,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
669211,Keegan Akin,,30,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
665660,Elvis Alvarado,,26,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
542888,Shawn Armstrong,,34,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
679883,Luinder Avila,,23,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
679775,Kyle Backhus,,27,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
641329,Bryan Baker,,30,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
607455,Anthony Banda,,31,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
642585,Félix Bautista,,30,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
657514,Brennan Bernardino,,33,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
656234,Jake Bird,,29,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,,,,
